posts: +100 (total 100), cursor 1408475771
posts: +100 (total 200), cursor 1422862438
posts: +100 (total 300), cursor 1454111578
posts: +100 (total 400), cursor 1469060404
posts: +100 (total 500), cursor 1530788456
posts: +100 (total 600), cursor 1628631767
posts: +100 (total 700), cursor 1708536470
posts: +100 (total 800), cursor 1776760832
posts: +22 (total 822), cursor 1786426037
posts: done, 822 new rows
comments: +100 (total 100), cursor 1427982381
comments: +100 (total 200), cursor 1459024222
comments: +100 (total 300), cursor 1487276982
comments: +100 (total 400), cursor 1538915405
comments: +100 (total 500), cursor 1605210849
comments: +100 (total 600), cursor 1713525780
comments: +100 (total 700), cursor 1764936474
comments: +39 (total 739), cursor 1786426037
comments: done, 739 new rows
