outlet	STAFF_EDITORIAL	WIRE_REP	CONTRIBUTOR	PR_REPUBLISHED	SPONSORED	AUTOMATED	NON_ARTICLE	UNKNOWN	NO_TEXT	contrib_verdict
fortune	9830	5425	70	695	695	1	17365	309	1102	VETTED
washingtonpost	2503	10	195	110	33	0	15	984	1753	VETTED
prweb	0	0	0	3391	0	0	0	0	1520	-
pbs	2	0	0	0	0	0	16696	91	621	-
independent	9	0	0	0	0	0	5378	265	5564	-
cnbc	16860	36	127	1793	215	13	1420	2634	8703	VETTED
propublica	74	0	20	5	4	0	634	15	11888	VETTED
wsj	21028	86	6	5074	152	1	1071	10783	2244	VETTED
forbes	511	83	4759	177	2288	2	29	4062	6948	OPEN-2014to2023(EXCLUDE-contrib)
foxbusiness	1003	37	0	130	81	247	521	225	13543	N/A
cbsnews	14323	2264	220	614	56	0	895	2346	1123	VETTED
cnn	464	6	43	68	66	0	381	2857	1831	VETTED
nytimes	4221	257	112	0	15	112	67	1967	4689	VETTED
marketwatch	350	133	0	191	388	0	1317	429	3131	N/A
businessinsider	219	2739	245	2254	283	9296	41	6533	12776	VETTED(parse1.1%-LOWCONF)
