id,original,simple,references,score,system
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.","in november 2022, a morning consult survey revealed that only 28% of americans wanted impeachment investigations into hunter biden's business affairs to be a primary focus of congress. however, over half of self-identified republicans supported that idea.","['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",92.33333333333333,GPT-3-few-shot
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.","in mid-november 2022, a morning consult poll revealed that only 28% of americans thought an impeachment investigation or investigations into hunter biden's business dealings should be a major congressional focus, but over half of republicans agreed it should be a priority.","['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",84.33333333333333,GPT-3-zero-shot
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.","a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.","['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",80.0,Human 1 Writing
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.","a tech company called morning consult conducted a poll in mid-november 2022. this poll found that only 28% of americans thought it was important for congress to look into hunter biden’s business exchanges. however, the poll also found that more than half of republicans thought it was important for congress to look into this issue.","['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",87.66666666666667,Human 2 Writing
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.","a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, while more than half of republicans said it was a top congressional priority.","['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",70.0,Muss
0,"a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority, though it also found more than half of self-identified republicans supported it as a top congressional priority.",a morning consult poll in mid-november 2022 found that only 28% of americans supported having an impeachment investigation or investigations into hunter biden's business dealings to be a top congressional priority. more than half of self-identified republicans supported it as a top congressional priority.,"['a poll found that only 28% of americans supported having an impeachment investigation into hunter biden, but it also found half of republicans supported it.']",70.66666666666667,T5-3B
1,"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","around 80% of the buildings in the area were renovated or modified after the 1999 earthquakes, making them better able to withstand this recent earthquake.","['because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.']",80.66666666666667,GPT-3-few-shot
1,"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","around 80% of the buildings in the area were rebuilt or modified after the 1999 earthquakes, thus decreasing the effect of this quake.","['because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.']",88.33333333333333,GPT-3-zero-shot
1,"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.","['because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.']",95.33333333333333,Human 1 Writing
1,"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","to reduce the impact of this earthquake, about 80 percent of buildings were updated after the 1999 earthquakes.","['because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.']",61.666666666666664,Human 2 Writing
1,"about 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.",about 80 percent of buildings in the area were rebuilt or changed after the 1999 earthquake. this made the 1999 earthquake less bad.,"['because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.']",75.66666666666667,Muss
